images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
['https://nitter.poast.org/pic/orig/media%2FGHAyc04WkAATeUw.jpg'],Conservatives retweeted,,Welsh Conservatives 🏴󠁧󠁢󠁷󠁬󠁳󠁿,@WelshConserv,retweet,"Feb 23, 2024 · 9:40 AM UTC",14,8,1,26,Who’s ready? #WelshCPC24,https://nitter.poast.org/WelshConserv/status/1760962930076455355#m,Conservatives,Conservatives,31781,6757,619757,1726,Welsh Conservatives 🏴󠁧󠁢󠁷󠁬󠁳󠁿,@WelshConserv,
['https://nitter.poast.org/pic/orig/media%2FGHArNK8XAAA6Y-8.jpg'],,,,,tweet,"Feb 23, 2024 · 9:09 AM UTC",53,17,2,38,Our plan for the economy means we’re home to the most cutting-edge companies at the forefront of changing the world 🚀,https://nitter.poast.org/Conservatives/status/1760955026405523954#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],Conservatives retweeted,,Claire Coutinho MP,@ClaireCoutinho,retweet,"Feb 23, 2024 · 8:51 AM UTC","1,023",63,43,137,"Energy prices are coming down by £238 to the lowest level in two years.

From April, the average bill will be £1,690.

This is a significant reduction from where prices were at their peak and the lowest level since Putin invaded Ukraine.",https://nitter.poast.org/ClaireCoutinho/status/1760950411840618958#m,Conservatives,Conservatives,31781,6757,619757,1726,Claire Coutinho MP,@ClaireCoutinho,
"['https://nitter.poast.org/pic/orig/media%2FGG9v3IiWQAEItk_.jpg', 'https://nitter.poast.org/pic/orig/media%2FGG9v3INWgAAoszk.jpg', 'https://nitter.poast.org/pic/orig/media%2FGG9v3IWWUAAoTNT.jpg', 'https://nitter.poast.org/pic/orig/media%2FGG9v3JYWQAAyxRK.jpg']",,,,,tweet,"Feb 22, 2024 · 7:30 PM UTC",408,49,11,201,"🚨 @RishiSunak is back in Wales – a special part of the UK.

But today Wales is sadly being treated as Labour’s laboratory, which has meant higher NHS waiting lists and lower education standards for Welsh people.

Only the Conservatives are committed to delivering for Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿",https://nitter.poast.org/Conservatives/status/1760749012649390511#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGG9gJ05XgAAIpfV.jpg'],Conservatives retweeted,,Rishi Sunak,@RishiSunak,retweet,"Feb 22, 2024 · 6:26 PM UTC","1,184",105,51,894,Great to be back 🏴󠁧󠁢󠁷󠁬󠁳󠁿,https://nitter.poast.org/RishiSunak/status/1760732731502383560#m,Conservatives,Conservatives,31781,6757,619757,1726,Rishi Sunak,@RishiSunak,
[],Conservatives retweeted,,Mel Stride,@MelJStride,retweet,"Feb 22, 2024 · 4:11 PM UTC",149,36,7,58,"#ThreeThingsThatMatter

⬆️ Raising the State Pension by 8.5%
👫 9 out of 10 people saving into a workplace pension 
🌳 Automatic Enrolment benefitting 11m people since 2012 

Our plan is working",https://nitter.poast.org/MelJStride/status/1760698891798814737#m,Conservatives,Conservatives,31781,6757,619757,1726,Mel Stride,@MelJStride,
[],Conservatives retweeted,,Victoria Atkins,@VictoriaAtkins,retweet,"Feb 22, 2024 · 8:58 AM UTC",28,25,8,78,"Losing a baby can be a hugely traumatic event.

That’s why we are introducing certificates to formally acknowledge the loss of life before 24 weeks.

I want to thank charities and campaigners for their continuous work that made today possible.

thesun.co.uk/health/26094222…",https://nitter.poast.org/VictoriaAtkins/status/1760589956827718002#m,Conservatives,Conservatives,31781,6757,619757,1726,Victoria Atkins,@VictoriaAtkins,
[],,,,,tweet,"Feb 22, 2024 · 11:19 AM UTC",54,36,3,111,"If you only watch one thing today, watch this 👇",https://nitter.poast.org/Conservatives/status/1760625374395093502#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGG7uAsyXwAAZ6fl.jpg'],,,,,tweet,"Feb 22, 2024 · 10:03 AM UTC",394,31,22,75,Our plan for the economy will mean 1 million new homes by the end of this parliament 🏡,https://nitter.poast.org/Conservatives/status/1760606206295523533#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],,,,,tweet,"Feb 21, 2024 · 6:44 PM UTC",302,72,13,402,"🇬🇧 @RishiSunak has met HM The King in the first of their formal meetings this year.

PM: “Wonderful to see you looking so well.”

King: “The cards and messages I’ve received have reduced me to tears most of the time.”

👇",https://nitter.poast.org/Conservatives/status/1760374990380138506#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],Conservatives retweeted,,James Cleverly🇬🇧,@JamesCleverly,retweet,"Feb 21, 2024 · 5:54 PM UTC","1,724",115,79,267,We have been working day in and day out on the things that matter most to you 👇,https://nitter.poast.org/JamesCleverly/status/1760362411884752953#m,Conservatives,Conservatives,31781,6757,619757,1726,James Cleverly🇬🇧,@JamesCleverly,
[],,,,,tweet,"Feb 21, 2024 · 1:24 PM UTC","1,708",213,144,733,"Innocent people were taken to court by the CPS and convicted while Keir Starmer was director of public prosecutions.

He says he “carries the can” for any mistakes made.

So when will he appear at the Post Office inquiry to answer for his role in this miscarriage of justice?",https://nitter.poast.org/Conservatives/status/1760294387387428958#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGG2uJshWMAApUy0.jpg'],,,,,tweet,"Feb 21, 2024 · 10:45 AM UTC",278,31,6,71,Our plan for the economy will make the UK a science superpower 👇,https://nitter.poast.org/Conservatives/status/1760254515456979451#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],,,,,tweet,"Feb 20, 2024 · 2:47 PM UTC",36,9,2,32,Is this the “blueprint” for government that Keir Starmer wants to impose on the rest of the country? 🤔,https://nitter.poast.org/Conservatives/status/1759953026352111808#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGGyb8j2WIAAD4pI.jpg'],,,,,tweet,"Feb 20, 2024 · 2:47 PM UTC",703,125,42,506,"Don’t bite the hand that feeds you.
 
Everyone knows that Labour’s new farming scheme in Wales is completely daft.
 
Labour don’t have a plan and it’s going to put British farmers out of business.",https://nitter.poast.org/Conservatives/status/1759953023353192475#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],,,,,tweet,"Feb 20, 2024 · 12:38 PM UTC","1,349",115,116,461,"British farmers produce the best quality food in the world.
 
They keep us fed. They steward our beautiful countryside. 
 
Today we’re sticking with our plan to back them - investing £2.4 billion a year in farms across the country 🇬🇧",https://nitter.poast.org/Conservatives/status/1759920362312073474#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGGxuqdeWAAAfeRx.jpg'],,,,,tweet,"Feb 20, 2024 · 11:30 AM UTC",690,132,44,311,We’re sticking with our plan to back British farmers 🇬🇧,https://nitter.poast.org/Conservatives/status/1759903249677668507#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],,,,,tweet,"Feb 20, 2024 · 10:53 AM UTC",75,15,1,44,"Labour don’t understand farmers. 

Just look at how the Labour government in Wales is driving Welsh farmers out of business, taking the sector back to square one.

farmersguardian.com/blog/417…",https://nitter.poast.org/Conservatives/status/1759893948300992664#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGGxmCk3XYAAPhZb.jpg'],,,,,tweet,"Feb 20, 2024 · 10:52 AM UTC","1,120",68,108,292,Farming is the lifeblood of our nation. The @Conservatives will always back them.,https://nitter.poast.org/Conservatives/status/1759893757795709017#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGGxWQKtXwAAeyyG.jpg'],,,,,tweet,"Feb 20, 2024 · 9:43 AM UTC",208,37,7,83,Our plan for a world-class education is skilling up and creating opportunities for the next generation 👇,https://nitter.poast.org/Conservatives/status/1759876394383806605#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
[],Conservatives retweeted,,Gillian Keegan MP,@GillianKeegan,retweet,"Feb 19, 2024 · 11:00 AM UTC",786,49,75,142,"Around half of schools do not ban mobile phones.

And of the half that do, many still allow them in break and lunch times.

Headteachers have been asking me for guidance to empower them to ban mobile phones in their schools.

That's what we're delivering.",https://nitter.poast.org/GillianKeegan/status/1759533330666533319#m,Conservatives,Conservatives,31781,6757,619757,1726,Gillian Keegan MP,@GillianKeegan,
