images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
[],,,,,tweet,"Nov 15, 2023 · 4:54 PM UTC",293,69,61,432,"We need to end the merry-go-round.

We’ve been working on a new international treaty with Rwanda and we will ratify it without delay.

We’ll provide a guarantee in law that those who are relocated from the UK to Rwanda will be protected against removal from Rwanda.

2/5",https://nitter.poast.org/RishiSunak/status/1724833150067494945#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-_Wk3cW4AA-o-U.jpg'],,,,,tweet,"Nov 15, 2023 · 4:54 PM UTC","9,748","1,070","2,620","4,639","Following today’s ruling, I’m taking the extraordinary step of introducing emergency legislation to confirm Rwanda is safe.

I will not allow a foreign court, like the European Court of Human Rights, to block these flights.

Here’s the plan in full ⬇️
1/5",https://nitter.poast.org/RishiSunak/status/1724833146674298940#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 15, 2023 · 4:45 PM UTC","2,473",245,163,919,My response to the judgment of the Supreme Court nitter.poast.org/i/broadcasts/1Ow…,https://nitter.poast.org/RishiSunak/status/1724830875844817293#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 15, 2023 · 2:50 PM UTC","1,620",288,127,"1,306","I spoke to @PaulKagame today after the Supreme Court’s judgment. We reiterated our firm commitment to making our migration partnership work.

While disappointed with the outcome, we'll take the necessary steps to ensure we stop the boats.",https://nitter.poast.org/RishiSunak/status/1724801983419474312#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 15, 2023 · 12:18 PM UTC","6,041",338,583,"1,985","My commitment to stopping the boats is unwavering.

The Government has been working on a new treaty with Rwanda, and we’ll finalise that in light of today’s judgment.

If necessary, I am prepared to revisit our domestic legal frameworks.",https://nitter.poast.org/RishiSunak/status/1724763902490157201#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],Rishi Sunak retweeted,,HM Treasury,@hmtreasury,retweet,"Nov 15, 2023 · 8:39 AM UTC",692,91,40,250,"""Now we are beginning to win the battle against inflation, we can move onto the next part of our economic plan, which is the long term growth of the British economy.""

The Chancellor speaks to @SkyNews on the news that inflation has halved ahead of next week's Autumn Statement.",https://nitter.poast.org/hmtreasury/status/1724708573303742639#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,HM Treasury,@hmtreasury,
['https://nitter.poast.org/pic/orig/media%2FF-9kcNvW0AAijy9.jpg'],,,,@hmtreasury,quote,"Nov 15, 2023 · 8:49 AM UTC","3,409",208,274,"1,277","We have halved inflation, meeting the priority I set out in January.

It's involved hard decisions and fiscal discipline, rejecting calls for higher spending and more borrowing.

As many people continue to struggle, we must stay the course to get inflation all the way back down.",https://nitter.poast.org/RishiSunak/status/1724711277996503057#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,"Inflation impacts all of us.

That’s why we have made halving it this year our top priority - easing the cost of living for millions across the country.

Today’s drop will allow more families to manage their finances, save for the future & do more of the things they love in life."
['https://nitter.poast.org/pic/orig/media%2FF-9N1O0X0AAc5cY.png'],,,,,tweet,"Nov 15, 2023 · 7:06 AM UTC","6,351",720,"1,199","3,963","In January I made halving inflation this year my top priority.

I did that because it is, without a doubt, the best way to ease the cost of living and give families financial security.

Today, we have delivered on that pledge.",https://nitter.poast.org/RishiSunak/status/1724685345097130230#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-4tvyyXIAA-0io.jpg'],,,,,tweet,"Nov 14, 2023 · 10:02 AM UTC","2,289",629,136,"7,934",Wishing His Majesty The King a very Happy Birthday!,https://nitter.poast.org/RishiSunak/status/1724367148456247748#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
"['https://nitter.poast.org/pic/orig/media%2FF-1NXILWkAABZm4.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-1MzGyX0AA_mw4.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-1MzGzXUAA4TdD.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-1MzJJXwAAyCSp.jpg']",,,,,tweet,"Nov 13, 2023 · 6:09 PM UTC","10,155",616,856,"4,846","Today we have built a united team ready to deliver the changes this country needs for the long term.

Professionalism, integrity and experience – this is a team that will be bold in making the right decisions for our great country, not the easy ones.",https://nitter.poast.org/RishiSunak/status/1724127240563114172#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
"['https://nitter.poast.org/pic/orig/media%2FF-v-vbrW8AA8OuT.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-v9I9WXEAAnqHt.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-v9JsKWYAAgLBY.jpg', 'https://nitter.poast.org/pic/orig/media%2FF-v9NVHXQAAupoF.jpg']",Rishi Sunak retweeted,,UK Prime Minister,@10DowningStreet,retweet,"Nov 12, 2023 · 5:15 PM UTC","1,061","1,450",84,"14,695","The Prime Minister @RishiSunak welcomed @DrSJaishankar to Downing Street this evening.

Together they expressed their very best wishes as Indian communities around the world begin #Diwali celebrations.

🇬🇧🇮🇳",https://nitter.poast.org/10DowningStreet/status/1723751381658394919#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,UK Prime Minister,@10DowningStreet,
['https://nitter.poast.org/pic/orig/media%2FF-vRJTQWEAAp81a.jpg'],,,,,tweet,"Nov 12, 2023 · 2:03 PM UTC","3,734",739,498,"10,876","We will remember them.

Today, and always.",https://nitter.poast.org/RishiSunak/status/1723703184118399365#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-ulCSHXMAANBDa.jpg'],Rishi Sunak retweeted,,UK Prime Minister,@10DowningStreet,retweet,"Nov 12, 2023 · 11:02 AM UTC",475,326,27,"2,243",We will remember them.,https://nitter.poast.org/10DowningStreet/status/1723657543199658106#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,UK Prime Minister,@10DowningStreet,
[],Rishi Sunak retweeted,,UK Prime Minister,@10DowningStreet,retweet,"Nov 12, 2023 · 8:19 AM UTC",320,300,14,"1,197","In Flanders fields the poppies blow
Between the crosses, row on row.

#LestWeForget",https://nitter.poast.org/10DowningStreet/status/1723616494003617880#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,UK Prime Minister,@10DowningStreet,
['https://nitter.poast.org/pic/orig/media%2FF-t9z4LXgAA56Y_.jpg'],,,,,tweet,"Nov 12, 2023 · 8:26 AM UTC","3,364",378,130,"2,910","For our tomorrow, they gave their today.

We will remember them.

#LestWeForget",https://nitter.poast.org/RishiSunak/status/1723618282807152809#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-rCm6PXUAAQzAO.jpg'],,,,,tweet,"Nov 11, 2023 · 6:23 PM UTC","13,569","1,925","2,712","11,023","Remembrance weekend is a time for us to come together as a nation and remember those who fought and died for our freedoms.

The unacceptable scenes today disrespect their memory.",https://nitter.poast.org/RishiSunak/status/1723406007844380964#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-pdabtXEAAinEU.jpg'],,,,,tweet,"Nov 11, 2023 · 11:04 AM UTC","3,735",877,223,"8,379",We will remember them.,https://nitter.poast.org/RishiSunak/status/1723295517352878318#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-pB1SLWYAAH_C0.jpg'],Rishi Sunak retweeted,,UK Prime Minister,@10DowningStreet,retweet,"Nov 11, 2023 · 9:08 AM UTC",689,917,63,"4,680","Today, at the 11th hour of the 11th day of the 11th month, the nation will observe the Two Minute Silence in remembrance of the men and women who have given their lives in service of our country.

#LestWeForget",https://nitter.poast.org/10DowningStreet/status/1723266553389412632#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,UK Prime Minister,@10DowningStreet,
['https://nitter.poast.org/pic/orig/media%2FF-l6it9WYAAR1KJ.jpg'],,,,,tweet,"Nov 10, 2023 · 6:24 PM UTC",367,59,13,398,"And finally, this weekend we will come together as a nation to remember the men and women who gave their lives in service of our country.

This year, as we have done every year for more than a century, we will fall silent and remember them.",https://nitter.poast.org/RishiSunak/status/1723043926280483068#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
[],,,,,tweet,"Nov 10, 2023 · 6:24 PM UTC",318,65,12,354,"When we say we stand with Ukraine, we mean it.

As of today, 30,000 Ukrainian recruits have been trained here in the UK. I’m proud of the part British servicemen and women have played in this effort to help Ukrainians defend their soil.

Ukraine will prevail.",https://nitter.poast.org/RishiSunak/status/1723043922975346722#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
['https://nitter.poast.org/pic/orig/media%2FF-l6WItWgAAr3Px.jpg'],,,,,tweet,"Nov 10, 2023 · 6:24 PM UTC",68,21,2,95,"On Wednesday I was in Lincolnshire talking to students about the importance of creating a smokefree generation.

Our plans will:

🚭 Protect kids from smoking

🚭 Crack down on youth vaping

🚭 Tackle underage sales and illicit trade

Share your views 👇consultations.dhsc.gov.uk/en…",https://nitter.poast.org/RishiSunak/status/1723043921184301350#m,Rishi Sunak,RishiSunak,4091,405,2347786,275,Rishi Sunak,@RishiSunak,
